Num_Acc,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1
200500000249,3,00786,0,,2,00,0,0,0,0,0,025,140,1,5,1,00
200500000250,3,00077,0,,2,02,0,0,0,1,1,000,000,2,0,1,00
200500000251,3,00102,0,,2,02,0,0,0,1,3,000,000,2,0,1,00
200500000252,3,00055,0,,2,00,0,0,0,2,1,000,379,2,5,1,00
200500000253,4,00000,0,,2,00,0,0,0,2,1,000,050,1,0,3,00
200500000254,3,00700,0,,2,02,0,0,0,1,2,000,072,2,0,0,00
200500000255,3,00786,0,,2,02,0,0,0,1,1,000,076,2,0,1,00
200500000256,3,00786,0,,2,02,0,0,0,1,2,000,050,1,0,4,00
200500000257,3,00786,0,,2,00,0,0,0,3,1,000,000,1,0,1,00
200500000258,3,00002,0,,2,00,0,0,0,3,1,000,070,1,0,1,00
200500000259,2,00012,0,,3,02,0,0,0,2,1,012,072,2,0,1,00
200500000260,4,00001,0,,2,00,0,0,0,2,1,000,000,1,0,1,03
200500000261,3,00766,0,,3,00,0,0,0,1,0,000,065,2,0,1,00
200500000262,2,00164,0,,3,02,30,830,0,3,1,031,130,2,5,1,00
200500000263,3,00066,0,,2,02,3,500,0,0,1,000,052,7,0,0,00
200500000264,3,00022,0,,2,00,0,0,0,1,1,000,053,2,5,1,00
200500000265,3,00088,0,A,2,02,7,7,0,1,1,000,063,1,0,1,00
200500000266,3,00006,6,,2,02,103,300,0,2,3,000,053,2,0,1,00
200500000267,3,00788,0,,2,00,0,0,0,1,1,000,094,1,0,1,00
200500000268,3,00784,0,,2,02,0,0,0,1,1,000,060,1,0,1,00
200500000269,3,00784,0,,2,02,0,0,0,1,1,000,075,2,0,1,03
200500000270,3,00039,0,,2,02,11,500,0,2,1,000,065,1,0,1,00
200500000271,3,00045,0,,2,02,17,600,0,2,1,000,092,2,0,1,00
200500000272,3,00102,0,,2,00,0,0,1,1,1,000,060,1,0,1,00
200500000273,4,00000,0,,2,02,0,0,0,1,1,000,060,1,0,1,00
200500000274,2,00165,0,,1,00,113,0,0,1,1,075,000,2,2,1,00
200500000275,3,00770,0,,2,02,77,0,0,1,2,000,000,1,0,1,00
200500000276,3,00010,0,,2,02,10,650,0,1,0,021,076,2,0,1,00
200500000277,3,00028,0,,2,02,15,200,0,1,1,000,065,1,5,1,00
200500000278,4,00018,0,,2,02,0,0,0,1,1,060,000,1,0,1,00
200500000279,3,00028,0,,2,02,23,150,0,1,1,000,075,1,5,1,00
200500000280,3,00067,0,,2,00,20,700,0,1,1,000,086,2,5,1,00
200500000281,9,00000,0,,2,02,0,0,0,1,2,000,040,2,0,0,00
200500000282,3,00072,0,,2,02,18,100,0,0,3,000,072,1,5,1,00
200500000283,5,00000,0,,0,00,301,400,0,1,1,000,033,2,0,3,00
200500000284,3,00712,0,,4,04,0,0,0,2,1,000,200,1,5,1,00
200500000285,4,00000,0,,2,00,0,0,0,1,1,000,070,2,0,1,00
200500000286,3,00042,0,,2,00,0,0,0,2,1,000,076,2,0,1,00
200500000287,3,00031,0,,2,00,0,0,0,0,1,000,070,1,0,1,00
200500000288,3,00058,1,,2,02,0,0,0,1,1,000,060,1,0,1,00
200500000289,3,00778,0,,2,02,39,50,0,2,1,060,000,1,5,1,00
200500000290,3,00014,0,,2,02,8,543,0,0,3,000,058,2,2,1,00
200500000291,4,00000,0,,2,01,0,0,0,1,1,000,000,1,0,1,00
200500000292,3,00136,0,,2,02,9,0,0,1,1,000,061,1,0,1,00
200500000293,9,00000,0,,1,00,0,0,0,2,1,000,083,1,5,1,00
200500000294,3,00768,0,,1,01,0,150,0,1,3,000,000,2,0,1,00
200500000295,3,00306,0,,2,00,11,500,0,0,0,000,070,2,0,1,00
200500000296,3,00003,0,,2,00,15,400,0,1,1,000,000,2,0,0,00
200500000297,9,00000,0,,2,02,0,0,1,0,1,010,080,1,0,1,00
200500000298,3,00766,0,,2,00,19,19,0,1,1,000,037,1,5,1,00
200500000299,3,00004,0,,2,00,4,596,0,1,1,000,065,1,5,1,00
200500000300,3,00001,0,,2,00,0,0,0,0,3,000,050,7,0,1,00
200500000301,3,00018,0,,0,02,27,0,0,1,2,000,058,2,0,3,00
200500000302,3,00768,0,,2,00,0,0,0,0,1,000,087,2,0,1,00
200500000303,3,00768,2,,2,02,0,0,1,1,1,000,000,2,0,1,00
200500000304,3,00170,0,,2,02,8,800,0,1,1,000,044,1,0,1,00
200500000305,3,00562,0,,2,03,0,0,0,2,2,000,000,1,0,1,00
200500000306,3,00041,0,,2,02,27,400,0,1,1,050,000,1,0,1,00
200500000307,3,00562,0,,2,00,39,348,0,1,1,000,100,1,0,1,00
200500000308,2,00013,0,,0,02,0,0,0,2,1,000,000,1,0,3,00
200500000309,2,00013,0,,2,02,0,0,0,1,1,000,070,2,0,1,00
200500000310,3,00029,0,,0,02,6,0,0,1,1,000,060,1,0,1,00
200500000311,3,00097,0,,2,00,0,0,0,1,1,000,045,1,0,1,00
200500000312,4,00002,0,,1,00,0,0,0,2,1,000,070,2,0,1,00
200500000313,3,00006,0,,2,02,72,0,0,0,1,000,070,2,0,1,00
200500000314,3,00133,0,,2,02,17,600,0,2,1,000,050,2,0,1,00
200500000315,3,00562,0,,2,02,25,500,0,2,1,000,064,7,0,4,00
200500000316,3,00047,0,,2,02,16,500,0,1,3,000,059,1,0,1,00
200500000317,3,00152,0,,2,00,12,0,0,1,1,000,044,2,0,1,00
200500000318,3,00047,0,,2,02,36,400,0,1,1,000,059,2,0,1,00
200500000319,3,00047,0,,2,00,5,200,0,0,3,000,000,2,0,3,00
200500000320,3,00047,0,,2,02,10,900,0,1,1,000,060,1,0,1,00
200500000321,3,00050,0,,2,02,9,0,0,1,1,000,054,5,0,1,00
200500000322,2,00175,0,,2,00,4,900,0,4,1,000,100,1,0,1,00
200500000323,3,00045,0,,2,00,0,0,0,0,1,000,058,2,0,1,00
200500000324,3,00016,0,,2,02,0,0,0,1,1,000,067,1,0,1,00
200500000325,4,00000,4,,2,02,0,900,0,1,3,000,027,9,0,1,00
200500000326,3,00512,0,,2,01,0,0,0,1,1,000,070,2,6,1,00
200500000327,3,00215,0,,2,00,0,0,0,0,1,000,043,1,0,1,00
200500000328,3,00001,0,,2,02,0,0,0,1,1,000,042,1,0,1,00
200500000329,3,00028,0,,2,02,4,300,0,1,1,000,054,2,0,1,00
200500000330,3,00971,0,,0,02,0,0,0,0,1,000,075,2,0,1,00
200500000331,3,00972,0,,2,02,0,0,0,1,1,000,100,1,0,1,00
200500000332,4,00000,0,,2,02,0,0,0,1,1,001,006,2,0,1,00
200500000333,3,00059,0,,2,02,0,0,0,1,1,000,006,1,0,1,00
200500000334,3,00047,0,,0,02,0,0,0,1,1,000,073,2,5,1,00
200500000335,3,00002,5,D,2,02,0,0,0,2,1,000,090,2,0,1,00
200500000336,3,00021,0,,2,02,0,0,0,0,3,000,000,2,0,3,00
200500000337,3,00911,0,,2,00,48,208,0,4,2,000,057,1,0,1,00
200500000338,3,00012,0,,2,02,4,533,0,3,1,000,000,2,0,3,00
200500000339,3,00999,0,,2,02,12,850,0,2,4,000,071,1,0,1,00
200500000340,3,00650,0,,2,02,0,0,0,1,1,070,000,2,0,1,00
200500000341,3,00900,0,,2,02,0,0,0,1,1,065,000,2,0,1,00
200500000342,4,00000,6,,1,00,0,0,0,2,1,000,032,1,0,1,00
200500000343,9,00000,0,,1,01,0,0,0,2,1,000,040,1,0,4,00
200500000344,2,00013,0,,3,04,28,500,0,1,1,025,140,2,0,3,00
200500000345,3,00116,0,,2,00,13,0,0,1,3,000,048,1,0,1,00
200500000346,3,00087,0,,2,00,0,0,0,0,3,000,055,1,5,1,00
200500000347,3,00115,0,,2,02,0,300,0,0,3,000,050,1,0,3,00
200500000348,3,00900,0,,2,02,0,0,0,1,0,000,071,1,0,1,00
